"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","Significant"
-9.178016297,10.4097842515,-5.69927798395901,1.36792229520236e-05,0.0028371077951881,3.30570211614148,"GKN2","Down"
-8.99115714,10.00213715,-5.46373676554427,2.32599928898583e-05,0.00348128133099897,2.80695722209657,"GKN1","Down"
-8.02319208,7.84040318,-5.96115118731943,7.63664068713782e-06,0.00232993907364575,3.85213712438618,"ATP4A","Down"
-7.97904655,10.871184315,-5.20667738216133,4.17860302013965e-05,0.0042590259788047,2.25560049143367,"PGA5","Down"
-7.96009495,9.019294355,-5.65602414732711,1.50731029484039e-05,0.00295336018045011,3.21461066948493,"ATP4B","Down"
-7.841365174,6.759468413,-6.45621245057932,2.59517281426287e-06,0.001497975832276,4.85962847128966,"AQP4","Down"
-7.74699687,9.881189645,-4.945377458018,7.62610155486552e-05,0.00565523093427996,1.68866202713677,"CBLIF","Down"
-6.61499794,11.52839613,-3.92802786102392,0.000822179183257681,0.0181442042929564,-0.551553593427635,"LIPF","Down"
-6.345145463,7.3104603685,-7.14607856081785,6.08067359021778e-07,0.000865766305775207,6.20311317799115,"KCNJ16","Down"
-6.25279027,9.793836265,-4.40874140179936,0.000266202250030284,0.010135318367901,0.509858742107264,"MUCL3","Down"
-5.70339411,6.284630005,-4.19317504386751,0.000441309786640219,0.0133878595359022,0.0336258207458648,"CHIA","Down"
-5.70233305,8.797216445,-4.13214332569875,0.000509275308885343,0.0141646635840913,-0.101210615731579,"SOSTDC1","Down"
-5.63038102,9.08375937,-4.09175183237465,0.000559920197983077,0.0148510712506531,-0.190417800405561,"KCNE2","Down"
-5.44443522,6.26352941,-6.51660462585249,2.27986177317789e-06,0.00149416975214222,4.98011657715565,"TRIM50","Down"
-5.306967048,5.789625116,-5.98263497068797,7.28263379399735e-06,0.00229669542475141,3.89656712980561,"SCNN1G","Down"
-5.2840292,6.54175975,-5.44484305639902,2.4278007894815e-05,0.00350341496357813,2.76667270046282,"CWH43","Down"
-5.28155136999999,9.479842465,-4.43341382129648,0.000251257000332242,0.00982801420530348,0.564324818810399,"ESRRG","Down"
-5.1363434002,6.7423481099,-5.20765773959556,4.16922800342184e-05,0.0042590259788047,2.25771599324298,"ETNPPL","Down"
-5.03532246,7.84550017,-4.34275798712585,0.00031071412289065,0.0108313677419811,0.36413576318413,"SLC28A2","Down"
-4.93409078,8.29297507,-6.46274866615522,2.55898441216455e-06,0.001497975832276,4.87269485542057,"PSAPL1","Down"
-4.92014241,9.415256145,-6.6893415579799,1.5781083632063e-06,0.00137141312768246,5.32173943333277,"MT1M","Down"
-4.90290641,10.783138135,-4.00598810813402,0.00068476337246956,0.0167712056718261,-0.379705525276553,"KRT20","Down"
-4.88455528,10.77923426,-3.66221139195269,0.00153163947734151,0.0256059864427051,-1.13485913523872,"VSIG1","Down"
-4.77869475,11.119361025,-3.6132441523101,0.00171696826450066,0.026868888652631,-1.24168906880521,"LTF","Down"
-4.66587028,8.75423259,-6.86046099312918,1.10038488781076e-06,0.00118221031806325,5.65571182810852,"GHRL","Down"
-4.57678575,9.034671915,-3.51867334666347,0.00213972569180662,0.0299777932128682,-1.44728578767776,"CXCL17","Down"
-4.5482946,12.43153,-4.94864907808445,7.56861740412187e-05,0.00565523093427996,1.69579562941892,"AKR1B10","Down"
-4.392749604,10.547537048,-3.78371892656144,0.00115294462621614,0.0219069736495534,-0.868841963865577,"GSTA2","Down"
-4.34544475,12.643883775,-3.38422355716256,0.00292208332922566,0.0357419414745429,-1.73764431092655,"PGC","Down"
-4.26821116,6.93233949,-7.50341954641125,2.94021249974144e-07,0.000791385785002714,6.87006055723201,"ADH7","Down"
-4.21773706,10.80355552,-6.19006115651967,4.61863742297763e-06,0.00211878455138428,4.32229238383834,"CLIC6","Down"
-4.20188531,7.004287755,-5.53725041661709,1.96959935753526e-05,0.00333660377593517,2.9633168911745,"CCKBR","Down"
-4.19474575,12.117267825,-4.36819253159805,0.000292732337300832,0.0105640282837006,0.420316379247625,"ADH1C","Down"
-4.14431982,12.95930459,-4.24918139105894,0.000386963357961506,0.0125407836661364,0.157381841164796,"IGH","Down"
-4.13791947,6.939512215,-4.38122562806614,0.000283927237482085,0.0104910623026036,0.449100220223334,"GC","Down"
-4.10261489,8.221113155,-5.17930201397612,4.4492327067817e-05,0.00430822192111275,2.19649040979944,"MAL","Down"
-4.07981077,8.508371425,-4.87887311460086,8.89557720928882e-05,0.00592151267900673,1.54347945079912,"SLC26A9","Down"
-4.0740828,9.41462865,-5.06506118772143,5.7853107503194e-05,0.00493279199478437,1.94907059920678,"PLAAT2","Down"
-4.05474375,11.316508275,-4.24617008766462,0.000389706879554687,0.012591482339863,0.150727714052341,"MFSD4A","Down"
-4.05354073,10.545684935,-3.6439918300836,0.00159816444560574,0.0260526076414162,-1.17463565229226,"MUC5AC","Down"
-4.0524582,8.46069245,-3.19122080841987,0.00455468039703477,0.0459821213929725,-2.14951975869207,"HMGCS2","Down"
-4.0307732,5.32848084,-4.47959095850043,0.00022551613394384,0.0092946384844848,0.666222168919067,"KCNJ13","Down"
-4.02576617,9.810786515,-3.99527896633135,0.000702188312346141,0.0169262254929758,-0.403325779917902,"ALDOB","Down"
-4.0148564,6.48168765,-3.46863596143328,0.00240331466373948,0.0319201438267936,-1.55563352748657,"FBP2","Down"
-3.99725038,8.55687967,-4.54270636220733,0.000194570613778165,0.00853274044858373,0.805390168000886,"CHGA","Down"
-3.9419984,8.93639803,-5.31397356534984,3.26963262100771e-05,0.00373978193589922,2.48657137885246,"CPA2","Down"
-3.91998467,8.136326615,-5.26054521064135,3.69392910766011e-05,0.00402506346695393,2.37170248881322,"ALDH3A1","Down"
