"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","Significant"
4.56247851,9.598956575,7.16565984016278,5.84071203593735e-07,0.000865766305775207,6.24017766359594,"INHBA","Up"
4.47733182,7.18968945,4.80889397937224,0.000104637144371315,0.00644015992028294,1.39037396366555,"COL11A1","Up"
4.46264015,7.977664155,7.39308442346477,3.67299216385871e-07,0.000791385785002714,6.66626610085636,"COL10A1","Up"
4.21638099,8.114359265,5.228935903244,3.97093669665788e-05,0.00417769926258731,2.30360899249079,"FNDC1","Up"
4.01075781,5.178873465,4.59812483852856,0.000170945108400491,0.00800551219537586,0.927464808904134,"LINC01614","Up"
3.99209892,7.63110712,4.76016181971742,0.000117184999955719,0.00685676724398434,1.28356590744424,"FAP","Up"
3.93066057,6.944291975,4.05120644211618,0.00061582149727577,0.0157699037377921,-0.279930125471063,"HOXA10","Up"
3.621470603,6.5083242885,4.50291566084983,0.000213540678768151,0.0090487862628004,0.71766815173322,"CT83","Up"
3.61383150000001,10.02071516,5.50592039314633,2.11412968280482e-05,0.00334455315819723,2.89675493884512,"THBS2","Up"
3.6094348,7.93814304,4.35592298926969,0.000301272271441968,0.0107059432632048,0.39321625644411,"HOXC6","Up"
3.56132899,5.873869485,4.83653563817111,9.81333366484996e-05,0.00627495111018564,1.45088985968013,"CST1","Up"
3.52357174,6.40497933,5.5133669376407,2.07882531820299e-05,0.00333815581359859,2.91258565500857,"NOX4","Up"
3.52175173,9.761220505,5.72973594555409,1.27773650899158e-05,0.00279940319679724,3.36970717811789,"COL8A1","Up"
3.49408908,9.01429046,5.19405583131293,4.30123408759522e-05,0.00427174428369274,2.2283563617404,"SFRP4","Up"
3.43947695,5.186149255,5.66151936616697,1.48882552832506e-05,0.0029441524822628,3.22619615979821,"IL13RA2","Up"
3.42719155,10.492183075,6.13992221483631,5.15358499723196e-06,0.00211878455138428,4.21993291814378,"SULF1","Up"
3.4227639,5.92945936,5.92279036603582,8.3132223976265e-06,0.00236727320994812,3.77265057540211,"SALL4","Up"
3.38937493,10.398587485,4.84579037650384,9.60485003269195e-05,0.00619730459662242,1.47113992218176,"SPP1","Up"
3.3508089,7.83306203,3.5085402054246,0.00219070008360075,0.0303613119308639,-1.46925311390089,"CEMIP","Up"
3.28699787,7.921625405,5.02003844806607,6.41802683236819e-05,0.0052480580011058,1.85124715100206,"IGF2BP3","Up"
3.2272292,7.3613838,7.77563921050992,1.70996572351507e-07,0.000608662299285188,7.36467960661347,"CDH3","Up"
3.17784496,5.22895294,4.34157371313761,0.000311577915007052,0.0108313677419811,0.361519672210447,"CCN6","Up"
3.13543597,5.590580845,4.2143477299797,0.000419918886594219,0.0131114147090537,0.0804095816928321,"HOXC9","Up"
3.09573563,5.760691705,4.13963159015132,0.000500402492193757,0.0141418177265964,-0.0846692940118086,"COMP","Up"
2.9709372,8.16725369,5.58780243814633,1.75732067583099e-05,0.0031751125826765,3.07047628777931,"ADAMTS2","Up"
2.95334619,8.375161005,6.45758646501412,2.58752202024315e-06,0.001497975832276,4.86237575181874,"CCN4","Up"
2.928947,5.97776703,4.95084652896949,7.53025385922272e-05,0.00565523093427996,1.70058659930633,"NKX3-2","Up"
2.90453031,6.429081655,3.94617760575334,0.000787915978427212,0.0178446676047402,-0.511568653760048,"WNT2","Up"
2.8671448,11.5532596,6.03255729790329,6.52349954584243e-06,0.00225662709074252,3.99956930998315,"CTHRC1","Up"
2.66216113,9.263721435,4.59984152588858,0.000170261382724523,0.00800551219537586,0.931244255303087,"CLDN1","Up"
2.63403625,11.249518225,5.22375578074311,4.01830891209323e-05,0.0042068148742929,2.29244049008466,"ASPN","Up"
2.62273756,5.539426,5.0701095614477,5.71843203389853e-05,0.00493279199478437,1.96002874867013,"KRT80","Up"
2.62044910000001,9.3132252,4.67973232769653,0.000141315197212026,0.00743173758086062,1.10698003730311,"BGN","Up"
2.60362729,6.869283605,5.66778916886765,1.46801790876218e-05,0.00293013630630222,3.23941019566075,"FKBP10","Up"
2.60248285,5.590882995,4.03447484760505,0.000640484145018526,0.016203503111013,-0.316856076733212,"CLEC5A","Up"
2.57124711,7.940797075,4.96580551500755,7.27428462468561e-05,0.00560898062132014,1.73319086419228,"CRISPLD1","Up"
2.56303026,9.12107917,5.90486059109134,8.65021670237173e-06,0.00243082471200728,3.73543163958487,"THY1","Up"
2.56169335,11.175449525,5.95026007483577,7.82278929888403e-06,0.00235311705713051,3.82958987139481,"COL12A1","Up"
2.5600329,5.70070183,4.94552335983582,7.62352857303293e-05,0.00565523093427996,1.68898017613071,"DKK2","Up"
2.55671014000001,8.80423848,6.66277216091714,1.66955758391834e-06,0.00137141312768246,5.26948491223464,"NTM","Up"
2.55525595,7.541882855,3.53150179074211,0.00207686499664541,0.0295621224440848,-1.41945733687569,"PI15","Up"
2.54217355,7.103057155,3.74188294257961,0.00127149526247418,0.0230912621774329,-0.960569788469871,"KRT6B","Up"
2.50845735,10.625594625,5.51925254210023,2.05134748965753e-05,0.00333815581359859,2.92509344985619,"APOC1","Up"
2.47875573,5.402500625,3.4551267377197,0.00247979187659668,0.0324775191158329,-1.58482942244486,"FNDC1-AS1","Up"
2.46797575,5.578930615,3.60792142406761,0.00173840220295583,0.0269782324600821,-1.25328688230462,"EPHX4","Up"
2.45828462,6.60788217,5.18440908763037,4.39742533857416e-05,0.00428839328565882,2.20752322909717,"HOXA9","Up"
2.44710185,5.750259025,3.77248864236925,0.00118364656335189,0.0221746839065845,-0.893477884110934,"P4HA3","Up"
2.44573007,8.451090865,4.05967218261473,0.000603706510576583,0.015616439905073,-0.261243622922432,"SPOCK1","Up"
2.44214112,6.3531757,3.98085072346412,0.000726365929742989,0.0171036352387222,-0.435142377859592,"HOXC10","Up"
2.41993033,5.015703155,3.77275860067264,0.00118289910943889,0.0221746839065845,-0.892885783517304,"CPZ","Up"
2.41457444,6.59407316,4.48848538555725,0.000220871723975258,0.00923122780614399,0.685842124428239,"PDLIM7","Up"
2.40275647000001,10.880605665,3.38388266119091,0.0029243863833138,0.0357419414745429,-1.73837725288367,"CXCL8","Up"
2.35691375,7.458289095,3.32793090122981,0.0033275031525653,0.0384137755834255,-1.85843077932486,"APOC2","Up"
2.34296572,9.04450769,5.24874437800361,3.79496866005572e-05,0.00411158207118981,2.34629241366766,"SERPINH1","Up"
2.309534,5.85944694,3.207803170357,0.00438508087026917,0.0449818310020839,-2.11439524485345,"GAL","Up"
2.2924239,6.14708244,3.61862985744068,0.00169554636301329,0.0267805917067394,-1.22995104241,"CPXM1","Up"
2.27979073,5.832219325,3.23781678362121,0.00409361431506197,0.0434097919199496,-2.05068715091817,"CST6","Up"
2.27884352000001,9.32217492,5.35581842790285,2.97221779314215e-05,0.00368382261186258,2.57633104557836,"NID2","Up"
2.20606301,6.233320115,3.14979979681056,0.00500667323684711,0.04829264685915,-2.23701892954231,"NRK","Up"
2.18246765,12.926318375,5.12801917896777,5.00516304644719e-05,0.00464762031230316,2.08556924220531,"FN1","Up"
2.18110413,7.577031375,5.0094136685349,6.5773195340271e-05,0.00529076866875871,1.82813744245811,"MFAP2","Up"
2.16205689,6.012006255,4.19361819530707,0.000440851071199701,0.0133878595359022,0.0346049955022503,"LY6E","Up"
2.16044396,5.60400459,4.8397937787744,9.73941915739699e-05,0.0062463896379738,1.45801957399009,"ANXA8L1","Up"
2.15163921,9.118037145,4.56655579585903,0.000184024235550197,0.00829157299292313,0.857940367313928,"TNFRSF12A","Up"
2.14942408,6.156724,4.36147462198614,0.000297377601116474,0.0106205575703086,0.405478619298179,"CDH13","Up"
2.14922891,6.869445345,3.78288615110892,0.0011551939326822,0.0219302016180388,-0.870669140309913,"ULBP2","Up"
2.14894792,8.04077747,3.72676864485596,0.00131723224770503,0.0235218470854819,-0.993675339992107,"MMP11","Up"
2.14677072,6.49480378,4.44359536021306,0.000245338352016956,0.00981059507229609,0.58679698316157,"RUSC2","Up"
2.14371213,6.972036475,3.78140573037272,0.00115920326833582,0.0219672619359788,-0.873917179602834,"S100A2","Up"
2.12193977,8.746143685,5.09751046148369,5.36889359466207e-05,0.00477764418754991,2.01946731070869,"ANOS1","Up"
2.11263958,9.50949861,5.04398382844404,6.07322732743667e-05,0.00510653212724665,1.90329589969207,"PRRX1","Up"
2.0927926,11.822098,5.73860888328272,1.25262468646483e-05,0.00279940319679724,3.38833121549071,"TIMP1","Up"
2.0803457,8.1337685,4.0857516422079,0.000567861512098271,0.0149726152023244,-0.203666894439268,"MELTF","Up"
2.07771902,6.07374041,3.99547043144186,0.000701872927751352,0.0169262254929758,-0.402903517080667,"CST2","Up"
2.0707755,9.49334795,5.41430381308102,2.60205528473689e-05,0.00356503655619601,2.70147441552282,"RARRES1","Up"
2.06384699,3.739686465,4.62139572636819,0.00016190792783728,0.00786511413378818,0.978686705170355,"MEG8","Up"
2.06287425,12.533791875,5.86262447738388,9.50046033366167e-06,0.00254244616976684,3.64758982832622,"SPARC","Up"
2.05858325,13.062687775,6.57026589376698,2.03279445097214e-06,0.00144847289578251,5.08672150777442,"COL6A3","Up"
